"","stage","impulse","lgroup","mean(value)","sd(value)","min(value)","median(value)","IQR(value)","max(value)"
"1","W/O PI","No I","ctr",5.27834846766718,9.21306689733605,0.00025605281287792,2.67718974811885,4.83273571067869,400.634365563207
"2","W/O PI","No I","stz",6.52986381064174,16.071614562685,1.32662837585062e-05,2.69102172378328,5.01594531689252,1410.98152398235
"3","W/O PI","I","ctr",30.0179534355928,74.59809348372,0.000575149404499816,5.09740904819165,20.6738897769986,1343.20523207877
"4","W/O PI","I","stz",42.1715238699898,101.809986082286,0.00117920134883307,5.4192659223737,35.178711547814,1873.84889948946
"5","W PI","No I","ctr",4.02129153450368,5.03948025492429,0.00025605281287792,2.50931060259579,4.07689379398869,148.649538442253
"6","W PI","No I","stz",3.29585165178572,4.24785885677925,1.32662837585062e-05,2.0148059159488,3.26548252894373,123.807238448588
"7","W PI","I","ctr",7.86258317210953,13.819295594073,0.00058754445756746,3.52207031848663,7.20629538576587,333.838847353257
"8","W PI","I","stz",8.49240800975515,19.1801196919854,1.32662837585062e-05,3.15179892724388,7.35999627887111,752.97997246243
